Title,Start Date,End Date,Attendees,Location
HOLIDAY: New Year's Day,2025-01-01 09:00:00,2025-01-01 17:00:00,,
Command Staff Post-Holiday Sync,2025-01-02 09:30:00,2025-01-02 11:00:00,COL Matthews (CoS); CSM Rodriguez; All G-Staff Directors,"Conference Room Alpha, Fort Meade,  MD"
CG Desk Time / Email Catch-up,2025-01-02 11:00:00,2025-01-02 12:00:00,MG Donovan,"MG Donovan's Office, Fort Meade,  MD"
Briefing: Q1 Training & Operations Outlook,2025-01-02 14:00:00,2025-01-02 15:30:00,G-3 Section Lead; G-3 Staff,"Conference Room Bravo, Fort Meade,  MD"
Commander's Update Brief (CUB) - Dry Run,2025-01-03 10:00:00,2025-01-03 11:00:00,COL Matthews (CoS); PAO; Aide-de-Camp,"Command Auditorium, Fort Meade,  MD"
Lunch with Command Sergeant Major,2025-01-03 12:00:00,2025-01-03 13:00:00,CSM Rodriguez,"MG Donovan's Office, Fort Meade,  MD"
Weekly Staff Sync - Operations & Intelligence,2025-01-06 09:00:00,2025-01-06 10:30:00,COL Matthews (CoS); CSM Rodriguez; G-2 Section; G-3 Section,"77th Cyber Command HQ - War Room, Fort Meade,  MD"
Budget Review - FY26 Initial Planning,2025-01-06 13:00:00,2025-01-06 14:30:00,COL Matthews (CoS); G-8 Section Lead; Ms. Albright (Comptroller),"MG Donovan's Office, Fort Meade,  MD"
CG Reading Time / Staff Paper Review,2025-01-06 15:00:00,2025-01-06 16:30:00,MG Donovan,"MG Donovan's Office, Fort Meade,  MD"
"VTC with Commander, ARCYBER",2025-01-07 10:00:00,2025-01-07 11:00:00,LTG Reyes (ARCYBER); COL Matthews (CoS),"VTC Room 3, Fort Meade,  MD"
Briefing with DARPA Project Lead,2025-01-07 14:00:00,2025-01-07 15:00:00,Dr. Arati Sharma (DARPA),"MG Donovan's Office, Fort Meade,  MD"
Personnel & Readiness Update (G-1),2025-01-08 09:30:00,2025-01-08 10:30:00,G-1 Section Lead; CSM Rodriguez,"Conference Room Alpha, Fort Meade,  MD"
Command Social Media Policy Review,2025-01-08 11:00:00,2025-01-08 12:00:00,PAO; SJA; CSM Rodriguez,"Conference Room Bravo, Fort Meade,  MD"
Brief to USCYBERCOM J3,2025-01-08 15:00:00,2025-01-08 16:30:00,GEN Jacobsen (USCYBERCOM); LTG Reyes (ARCYBER); G-3 Section,"USCYBERCOM HQ, Fort Meade,  MD"
Long Range Calendar Review,2025-01-09 09:30:00,2025-01-09 11:00:00,COL Matthews (CoS); Aide-de-Camp,"MG Donovan's Office, Fort Meade,  MD"
Site Visit: 1st Cyber Brigade,2025-01-09 13:00:00,2025-01-09 15:30:00,"BG Williams (Cmdr, 1st Cyber Bde); CSM Rodriguez","1st Cyber Brigade HQ, Fort Meade,  MD"
Commander's Update Brief (CUB),2025-01-10 10:00:00,2025-01-10 11:30:00,All 77th Command Staff & Directors,"Command Auditorium, Fort Meade,  MD"
Weekly Staff Sync - Operations & Intelligence,2025-01-13 09:00:00,2025-01-13 10:30:00,COL Matthews (CoS); CSM Rodriguez; G-2 Section; G-3 Section,"77th Cyber Command HQ - War Room, Fort Meade,  MD"
Signature Time - Awards & NCOERs,2025-01-13 14:00:00,2025-01-13 15:30:00,Adjutant; CSM Rodriguez,"MG Donovan's Office, Fort Meade,  MD"
"TRAVEL: Fort Meade, MD to Austin, TX",2025-01-14 08:00:00,2025-01-14 12:00:00,Aide-de-Camp,"BWI Airport to AUS Airport,, "
